"Region","Area","Covid_Positive_4_4","Covid_Death_4_4","Total_Population_2010","Drive_to_work_rate","Carpool_to_work_rate","Public_transportation_rate","Walk_to_work_rate","Other_commuter_rate","work_from_home_rate"
"Alabama","South",1580,43,4779736,0.86,0.08,0,0.01,0.01,0.03
"Alaska","West",171,5,710231,0.68,0.12,0.01,0.08,0.06,0.05
"Arizona","West",2019,52,6392017,0.76,0.11,0.02,0.02,0.03,0.07
"Arkansas","South",743,14,2915918,0.83,0.1,0,0.02,0.01,0.04
"California","West",12026,276,37253956,0.74,0.1,0.05,0.03,0.03,0.06
"Colorado","West",4173,111,5029196,0.75,0.09,0.03,0.03,0.02,0.09
"Connecticut","Northeast",5276,165,3574097,0.78,0.08,0.05,0.03,0.01,0.06
"Delaware","South",593,14,897934,0.8,0.09,0.02,0.02,0.01,0.06
"District of Columbia","South",902,21,601723,0.34,0.05,0.35,0.13,0.07,0.06
"Florida","South",11111,191,18801310,0.79,0.09,0.02,0.01,0.02,0.06
"Georgia","South",6160,201,9687653,0.79,0.09,0.02,0.01,0.02,0.06
"Hawaii","West",319,3,1360301,0.67,0.15,0.06,0.03,0.03,0.06
"Idaho","West",1013,10,1567582,0.8,0.09,0.01,0.03,0.02,0.06
"Illinois","Midwest",10357,243,12830632,0.73,0.08,0.09,0.03,0.02,0.05
"Indiana","Midwest",3953,116,6483802,0.83,0.09,0.01,0.02,0.02,0.04
"Iowa","Midwest",786,14,3046355,0.82,0.08,0.01,0.03,0.01,0.05
"Kansas","Midwest",698,21,2853118,0.82,0.09,0.01,0.02,0.01,0.05
"Kentucky","South",831,37,4339367,0.83,0.09,0.01,0.02,0.01,0.04
"Louisiana","South",12496,409,4533372,0.83,0.09,0.01,0.02,0.02,0.03
"Maine","Northeast",456,10,1328361,0.78,0.1,0.01,0.04,0.02,0.06
"Maryland","South",3125,53,5773552,0.74,0.09,0.08,0.02,0.02,0.05
"Massachusetts","Northeast",11736,216,6547629,0.7,0.07,0.1,0.05,0.02,0.05
"Michigan","Midwest",14225,540,9883640,0.82,0.09,0.01,0.02,0.01,0.04
"Minnesota","Midwest",865,24,5303925,0.78,0.08,0.04,0.03,0.02,0.06
"Mississippi","South",1455,35,2967297,0.86,0.09,0,0.01,0.01,0.03
"Missouri","Midwest",2291,24,5988927,0.82,0.09,0.01,0.02,0.01,0.05
"Montana","West",265,5,989415,0.75,0.09,0.01,0.06,0.02,0.07
"Nebraska","Midwest",321,6,1826341,0.82,0.09,0.01,0.03,0.01,0.05
"Nevada","West",1742,46,2700551,0.78,0.11,0.03,0.02,0.02,0.04
"New Hampshire","Northeast",540,7,1316470,0.81,0.07,0.01,0.03,0.02,0.07
"New Jersey","Northeast",34124,846,8791894,0.71,0.08,0.12,0.03,0.02,0.05
"New Mexico","West",495,10,2059179,0.79,0.11,0.01,0.02,0.02,0.05
"New York","Northeast",113704,3565,19378102,0.53,0.06,0.28,0.06,0.02,0.05
"North Carolina","South",2402,24,9535483,0.81,0.09,0.01,0.02,0.01,0.06
"North Dakota","Midwest",186,3,672591,0.82,0.09,0.01,0.03,0.01,0.04
"Ohio","Midwest",3739,102,11536504,0.82,0.08,0.02,0.02,0.01,0.04
"Oklahoma","South",1159,42,3751351,0.83,0.1,0,0.02,0.01,0.04
"Oregon","West",899,22,3831074,0.72,0.1,0.04,0.04,0.03,0.08
"Pennsylvania","Northeast",10017,136,12702379,0.76,0.09,0.06,0.04,0.02,0.05
"Rhode Island","Northeast",806,17,1052567,0.82,0.08,0.02,0.03,0.01,0.04
"South Carolina","South",1917,40,4625364,0.82,0.1,0.01,0.01,0.02,0.05
"South Dakota","Midwest",212,2,814180,0.81,0.09,0,0.03,0.01,0.06
"Tennessee","South",3321,43,6346105,0.83,0.09,0.01,0.01,0.01,0.05
"Texas","South",6110,105,25145561,0.81,0.1,0.01,0.01,0.02,0.05
"Utah","West",1428,8,2763885,0.76,0.11,0.02,0.02,0.02,0.07
"Vermont","Northeast",461,20,625741,0.75,0.09,0.01,0.05,0.02,0.08
"Virginia","South",2407,52,8001024,0.77,0.09,0.05,0.02,0.02,0.06
"Washington","West",6966,284,6724540,0.71,0.1,0.07,0.04,0.02,0.07
"West Virginia","South",282,2,1852994,0.83,0.09,0.01,0.03,0.01,0.03
"Wisconsin","Midwest",2112,56,5686986,0.82,0.08,0.02,0.03,0.02,0.05
"Wyoming","West",187,0,563626,0.76,0.1,0.01,0.04,0.02,0.06
